0,0,0,0,0,0,10.6975,0,15,0,10.7323,0,0,13.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72293,0,0,0,
0,15,15,0,0,9.33239,0,0,0,7.70534,0,15,11.7124,8.48107,0,0,15,0,15,0,0,0,0,0,9.81283,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,
0,14.4332,0,0,0,10.3594,0,15,0,0,9.97554,0,0,0,15,0,7.48393,0,0,0,0,13.6548,0,0,0,0,13.0426,0,0,0,15,0,11.7625,0,0,0,0,0,0,0,
0,0,0,15,0,0,0,15,15,15,15,0,0,0,8.05037,10.8245,0,0,0,15,15,13.7146,10.7183,6.38576,0,0,0,8.40711,0,15,15,15,15,0,0,0,0,8.87985,0,0,
8.01286,15,0,0,0,0,0,3.98025,0,15,15,15,0,15,15,0,15,12.5366,14.8711,12.3539,15,15,0,14.3895,0,0,0,0,0,15,15,0,12.4046,0,13.8679,15,9.75851,0,15,5.60083,
9.85766,15,7.88483,15,11.8412,15,15,15,15,15,15,15,15,15,15,6.91271,0,15,0,15,5.22582,10.6156,14.6378,13.0406,0,0,15,0,13.8433,11.7974,8.39934,15,15,13.1557,0,15,15,0,0,15,
15,15,15,15,15,15,13.3045,14.9878,15,15,15,15,15,0,15,15,15,12.9481,15,13.652,0,15,15,15,15,15,13.485,15,15,15,13.8812,13.8793,15,15,15,15,15,15,13.3165,15,
15,15,12.5768,12.5057,15,0,15,15,15,15,0,12.8039,15,15,0,15,15,15,15,15,15,0,12.5057,15,15,15,15,15,15,15,10.1847,15,0,14.1635,15,10.0787,15,10.4595,15,10.1771,
15,15,15,15,15,0,15,15,15,15,0,15,15,0,15,15,15,15,15,0,15,15,15,11.8523,0,15,0,15,0,15,15,15,15,15,0,15,15,15,15,0,
15,15,14.9473,15,15,15,15,15,0,15,15,0,15,15,15,13.527,8.11051,15,15,15,15,15,15,15,15,11.4704,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
14.5098,15,15,15,15,15,15,15,15,9.6276,15,15,0,15,15,0,15,15,15,15,0,15,14.6878,14.076,15,0,15,14.4804,13.353,15,15,0,15,15,0,15,0,15,15,12.9046,
15,15,0,15,15,0,12.2725,13.1588,14.8372,15,8.49493,0,15,0,0,0,0,15,15,0,15,15,0,15,15,15,15,15,12.8674,15,12.5819,15,0,15,0,12.0095,13.8061,15,0,0,
15,15,0,15,0,15,15,15,0,0,15,15,15,15,0,0,15,15,15,0,15,15,0,0,0,0,15,15,0,15,15,15,15,15,15,15,0,15,0,15,
15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,0,0,15,15,15,15,15,4.25684,15,15,15,15,15,15,9.53674,0,8.94202,15,10.2075,15,15,0,15,0,0,
15,0,7.71506,15,15,15,12.2434,0,14.726,15,15,13.6776,11.2094,15,15,15,15,15,15,12.1336,15,15,0,15,0,15,0,11.8281,15,15,0,15,14.7417,14.7405,15,0,15,15,15,15,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,15,15,15,15,15,11.7994,0,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,15,0,15,15,0,15,15,15,15,15,15,8.7518,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,0,
15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12.2406,15,15,15,15,15,15,15,0,15,15,15,15,14.3634,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,
15,15,0,15,15,0,0,15,15,15,15,15,15,15,15,15,15,0,15,15,0,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,0,15,15,
15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15,0,15,15,15,0,15,15,15,15,15,0,0,15,15,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14.7557,15,15,14.3781,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,0,0,
0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,9.19322,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12.9739,15,15,15,15,15,15,0,15,15,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14.9138,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
9.73368,15,15,0,11.9295,15,15,14.8026,15,15,15,0,13.0616,15,15,15,0,15,15,15,14.5055,15,11.8405,15,15,8.66691,0,15,15,15,15,15,15,15,15,15,15,15,0,15,
15,0,15,15,15,15,15,0,15,15,0,15,0,15,15,15,14.5769,15,0,0,15,0,14.6646,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,0,
15,15,15,15,0,0,15,15,15,15,15,0,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,14.8807,15,15,15,15,15,15,15,
15,15,15,15,10.3113,14.8973,12.8731,15,15,13.0984,15,15,15,15,15,15,0,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,15,15,0,15,15,14.9892,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13.6065,15,15,14.8973,15,14.9667,15,15,15,15,
15,0,15,15,15,15,15,15,0,15,15,15,0,15,15,15,15,15,15,15,15,0,15,15,15,0,15,15,15,15,15,15,15,15,15,15,12.1509,15,0,15,
15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,0,15,15,13.1927,15,15,15,15,15,15,15,15,
15,15,15,15,15,15,15,0,15,9.01324,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,0,15,15,15,
15,15,15,15,0,0,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,15,15,15,0,0,14.7437,14.1842,15,15,15,15,0,15,15,
15,15,0,15,15,15,0,15,0,0,15,15,0,15,15,15,0,15,15,8.70335,15,15,0,0,0,0,15,15,0,15,0,15,15,0,0,0,15,15,0,9.64208,
15,0,15,15,0,15,15,15,0,0,15,15,15,0,15,15,13.3682,15,13.7828,15,15,15,15,0,15,15,0,15,9.96421,0,15,0,10.3323,15,10.3092,15,15,15,13.187,15,
15,15,8.52743,15,15,0,0,0,15,15,0,0,0,14.286,15,15,11.1153,15,15,15,15,15,15,0,15,15,15,15,0,15,15,15,15,15,0,0,15,0,15,15,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11.6609,15,15,0,15,0,15,15,15,15,15,15,15,15,0,15,0,15,15,
15,15,15,15,15,15,15,0,15,15,15,15,15,0,15,15,15,15,15,15,13.9319,15,15,15,15,15,15,0,15,15,14.9847,15,15,13.329,15,15,15,15,9.72623,15,
15,15,0,15,15,15,0,15,0,15,15,15,15,15,15,15,15,0,0,15,11.5116,0,14.6039,15,0,15,8.85954,15,15,15,15,15,0,15,0,15,15,0,0,0,
15,0,0,15,0,15,15,15,15,15,0,15,15,15,0,0,15,15,15,15,15,15,15,0,15,12.6723,15,0,0,15,15,15,0,15,15,0,0,0,14.5474,15,
15,15,15,15,0,15,0,15,0,15,15,15,15,15,15,15,9.10734,15,15,15,0,12.7253,15,15,15,0,15,15,0,15,15,15,15,15,15,0,15,0,15,15,
15,15,15,15,0,0,0,15,0,15,0,15,15,15,15,15,15,15,15,15,15,15,0,15,15,7.00991,0,7.07308,0,15,15,14.423,15,15,15,15,15,15,15,15,
7.67582,0,15,15,15,14.7013,15,8.23677,15,15,15,15,15,15,11.3799,0,15,15,15,15,15,0,15,0,15,15,15,0,0,0,15,15,15,15,15,0,0,15,15,15,
15,12.6198,15,15,15,15,0,0,0,12.5678,0,10.5372,15,15,15,15,15,15,15,0,15,15,15,15,15,15,0,14.3344,15,15,15,15,15,14.4349,15,14.9975,15,0,12.4814,0,
